"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFT_00292",1369.61554567001,0.106511490778669,0.14936392572965,0.713100504411327,0.475783567402407,0.669835097492585
"LFT_01647",18.8702715884222,0.107568181207231,0.572072657057716,0.188032376447558,0.850851271094683,0.915867733064374
"LFT_01366",693.139359784927,0.107821766963653,0.223120973470448,0.48324353056811,0.628922830272788,0.790043782151951
"LFT_00146",180.267990699356,0.108244783907087,0.220368097676133,0.491199883506598,0.623285081335476,0.787018519800288
"LFT_02588",128.754149353656,0.109156669104314,0.296237656082264,0.368476683713707,0.712517827727811,0.834810551044555
"LFT_02416",1103.56062481906,0.109262588471042,0.15627012950327,0.699190490328198,0.484432992811498,0.6777056277162
"LFT_00149",292.459772009107,0.109274995690017,0.205282643390509,0.532314831323285,0.594507961746817,0.765334915913292
"LFT_00866",353.176843702246,0.109364276331336,0.233450645595453,0.468468510988199,0.639449584345187,0.797712611234117
"LFT_00800",1415.43356822227,0.110534998119034,0.150962813924906,0.732200170659364,0.464046400197348,0.659021606807072
"LFT_00067",2003.35850317982,0.110693433675004,0.160147777887832,0.691195564090401,0.489442651160098,0.681052384890634
"LFT_02108",43.0500472077084,0.110695640400966,0.437715627946029,0.25289396433114,0.800350153674335,0.888184574000162
"LFT_01896",604.729670201418,0.111581822965252,0.181506038404807,0.614755431532227,0.538716246510383,0.719370680956605
"LFT_00465",77.2957970985734,0.112245660109385,0.297142425469221,0.377750366451834,0.705616048157467,0.829515826994572
"LFT_02041",1307.86046355787,0.112991865299937,0.196937926857892,0.573743550075403,0.566141353341848,0.742965254762565
"LFT_00291",193.663473170498,0.113978978880376,0.264987027857476,0.430130409786246,0.667100780225172,0.808844417595446
"LFT_00034",1495.17697037393,0.115096295665589,0.203822118489964,0.564689919417434,0.572284691989029,0.747004710432386
"LFT_00691",1634.73138785719,0.116223554438533,0.166335619786347,0.698729199361016,0.484721282321885,0.6777198881345
"LFT_01350",47.2271155923347,0.116758591584959,0.420407191096917,0.277727389201681,0.781221633853844,0.87613305186462
"LFT_02299",397.863540152374,0.118188780405678,0.191565968384587,0.616961255709066,0.537260281399451,0.718213552260264
"LFT_01423",356.802774622848,0.11835577187553,0.188483157096607,0.627938186619331,0.530044434072644,0.713262443862525
"LFT_02127",297.444161995234,0.118375086803017,0.209481497980457,0.565086119510472,0.572015189190425,0.747004710432386
"LFT_01740",103.319482261381,0.118558780464751,0.302650497551262,0.391734959710976,0.695254056237131,0.821694536881614
"LFT_02096",39.5669132753412,0.118734668024779,0.426583200428316,0.278338827936876,0.780752272855985,0.87613305186462
"LFT_02316",1526.65083145229,0.120075106433307,0.189425980269198,0.633889323220952,0.526153053869123,0.710379497107509
"LFT_01130",731.507016441256,0.120494292517275,0.204962658050453,0.587884123202652,0.55661007390724,0.733992559849952
"LFT_00408",674.182308825383,0.121136101563541,0.216352334386773,0.559901985374401,0.575546294483324,0.750216120223097
"LFT_00466",288.426915222114,0.121695083888665,0.274534839925268,0.443277377551762,0.65756511677133,0.805182737816694
"LFT_01468",15.9816286162499,0.121956750257352,0.579992049333099,0.210273141498376,0.833454496649356,0.906837114212952
"LFT_00447",71.1940852626705,0.122211503009242,0.366439539496477,0.333510688222053,0.73874882280028,0.853237384438048
"LFT_00527",436.632571759316,0.122301861409083,0.176162096470967,0.694257526784368,0.487520721861775,0.680462771579121
"LFT_00176",123.150641942005,0.122343372198921,0.267099282119562,0.458044556421369,0.646920430487675,0.79925278480361
"LFT_00886",222.970964047158,0.122857301016816,0.287805815434549,0.426875672513139,0.669469885627251,0.81066957637393
"LFT_00439",357.692730359064,0.122902152340075,0.181686460538522,0.67645190497845,0.498753772000477,0.68827391132817
"LFT_01396",148.912213967329,0.124026631508502,0.244395613803227,0.5074830500369,0.611815926424786,0.77854125842328
"LFT_02594",213.657761215868,0.125414677828266,0.224216163037362,0.559347176980135,0.575924804153487,0.750216120223097
